pgn,name
Nh3,Amar Opening
Nh3 d5 g3 e5 f4,"Amar Opening, Paris Gambit"
Nh3 d5 g3 e5 f4 Bxh3 Bxh3 exf4 O-O fxg3 hxg3,"Amar Opening, Paris Gambit, Gent Gambit"
e3 e5 c4 d6 Nc3 Nc6 b3 Nf6,Amsterdam Attack
a3,Anderssen's Opening
a3 a5 b4,"Anderssen's Opening, Polish Gambit"
f3,Barnes Opening
f3 e5 g4 Qh4#,"Barnes Opening, Fool's Mate"
f3 d5 e4 g6 d4 dxe4 c3,"Barnes Opening, Gedult Gambit"
f3 f5 e4 fxe4 Nc3,"Barnes Opening, Gedult Gambit"
f3 e5 Kf2,"Barnes Opening, Hammerschlag"
h3,Clemenz Opening
h3 h5 g4,"Clemenz Opening, Spike Lee Gambit"
h3 d5 a3 e5,"Creepy Crawly Formation, Classical Defense"
a3 e5 b3 d5 c3 Nf6 d3 Nc6 e3 Bd6 f3 O-O g3,"Formation, Hippopotamus Attack"
a3 e5 g3 d5 Bg2 Nf6 d3 Nc6 Nd2 Bd6 e3 O-O h3,"Formation, Shy Attack"
h3 e5 a3,Global Opening
g4,Grob Opening
g4 f5,"Grob Opening, Alessi Gambit"
g4 g5,"Grob Opening, Double Grob"
g4 g5 f4,"Grob Opening, Double Grob, Coca-Cola Gambit"
g4 d5 Bg2,"Grob Opening, Grob Gambit"
g4 d5 Bg2 c6,"Grob Opening, Grob Gambit Declined"
g4 d5 Bg2 h5 gxh5,"Grob Opening, Grob Gambit, Basman Gambit"
g4 d5 Bg2 Bxg4 c4,"Grob Opening, Grob Gambit, Fritz Gambit"
g4 d5 Bg2 Bxg4 c4 d4 Bxb7 Nd7 Bxa8 Qxa8,"Grob Opening, Grob Gambit, Fritz Gambit, Romford Countergambit"
g4 d5 Bg2 e5 d4 exd4 c3,"Grob Opening, Grob Gambit, Keres Gambit"
g4 d5 Bg2 c6 c4 dxc4 b3,"Grob Opening, Grob Gambit, Richter-Grob Gambit"
g4 d5 h3 e5 Bg2 c6,"Grob Opening, Keene Defense"
g4 d5 h3 e5 Bg2 c6 d4 e4 c4 Bd6 Nc3 Ne7,"Grob Opening, Keene Defense, Main Line"
g4 e5 h3 Nc6,"Grob Opening, London Defense"
g4 d5 Bg2 Bxg4 c4 d4,"Grob Opening, Romford Countergambit"
g4 d5 Bg2 c6 g5,"Grob Opening, Spike Attack"
g4 e5 Bg2 d5 c4,"Grob Opening, Spike, Hurst Attack"
g4 d5 e4 dxe4 Nc3,"Grob Opening, Zilbermints Gambit"
g4 d5 e4 dxe4 Nc3 h5,"Grob Opening, Zilbermints Gambit, Schiller Defense"
g4 d5 e4 dxe4 Nc3 e5 d3,"Grob Opening, Zilbermints Gambit, Zilbermints-Hartlaub Gambit"
g3,Hungarian Opening
g3 Nc6 Nc3 d5 d4 e5 dxe5 d4 Ne4 f5,"Hungarian Opening, Asten Gambit"
g3 e5 a3 d5 Nf3 e4 Nh4 Be7 d3,"Hungarian Opening, Burk Gambit"
g3 d5 Bg2 e5 b4,"Hungarian Opening, Bücker Gambit"
g3 d5 Bg2 e6,"Hungarian Opening, Catalan Formation"
g3 f5,"Hungarian Opening, Dutch Defense"
g3 Nf6,"Hungarian Opening, Indian Defense"
g3 g5,"Hungarian Opening, Myers Defense"
g3 f5 e4 fxe4 Qh5+ g6,"Hungarian Opening, Pachman Gambit"
g3 e5 Nh3 d5 f4 Bxh3 Bxh3 exf4 O-O,"Hungarian Opening, Paris Gambit"
g3 e5 Nf3,"Hungarian Opening, Reversed Alekhine"
g3 e5 Nf3 e4 Ng1 Nf6 b4,"Hungarian Opening, Reversed Brooklyn Defense, Brooklyn Benko Gambit"
g3 d5 Bg2 c5,"Hungarian Opening, Reversed Modern Defense"
g3 e5 Nf3 e4 Nh4,"Hungarian Opening, Reversed Norwegian Defense"
g3 c5,"Hungarian Opening, Sicilian Invitation"
g3 d5 Bg2 c6,"Hungarian Opening, Slav Formation"
g3 g6,"Hungarian Opening, Symmetrical Variation"
g3 h5 Nf3 h4,"Hungarian Opening, Van Kuijk Gambit"
g3 d5 Bg2 e5 c4 dxc4 b3,"Hungarian Opening, Winterberg Gambit"
h4,Kádas Opening
h4 d5 Rh3,"Kádas Opening, Beginner's Trap"
h4 a5,"Kádas Opening, Koola-Koola Variation"
h4 c5 b4,"Kádas Opening, Kádas Gambit"
h4 d5 d4 c5 Nf3 cxd4 c3,"Kádas Opening, Kádas Gambit"
h4 e5 d4 exd4 c3,"Kádas Opening, Kádas Gambit"
h4 d5 d4 c5 e4,"Kádas Opening, Myers Variation"
h4 g5,"Kádas Opening, Schneider Gambit"
h4 f5 e4 fxe4 d3,"Kádas Opening, Steinbok Gambit"
g3 h5,Lasker Simul Special
d3,Mieses Opening
d3 g6 g4,"Mieses Opening, Myers Spike Attack"
d3 e5,"Mieses Opening, Reversed Rat"
d3 c5 Nc3 Nc6 g3,"Mieses Opening, Venezolana Variation"
b4,Polish Opening
b4 d5,"Polish Opening, with d5"
b4 d5 Bb2 Nf6 Nf3,"Polish Opening, with d5"
b4 d5 Bb2 Bf5,"Polish Opening, Baltic Defense"
b4 c5,"Polish Opening, Birmingham Gambit"
b4 e5 Bb2 f6 b5,"Polish Opening, Bugayev Advance Variation"
b4 e5 a3,"Polish Opening, Bugayev Attack"
b4 e5 Bb2 d6,"Polish Opening, Czech Defense"
b4 f5,"Polish Opening, Dutch Defense"
b4 d5 Bb2 Qd6,"Polish Opening, German Defense"
b4 Nc6,"Polish Opening, Grigorian Variation"
b4 Nh6,"Polish Opening, Karniewski Variation"
b4 Nf6 Bb2 g6,"Polish Opening, King's Indian Variation"
b4 Nf6 Bb2 g6 e4,"Polish Opening, King's Indian Variation, Schiffler Attack"
